Product Grouping,Taxonomy,Name,Brand,Vendor,Primary Image,Description,SKU,UPC,price,detail[media_condition],detail[sleeve_condition],Weight,Width,Length,Height,Country of Origin
,,"The Neighbourhood: I Love You. 12"" (used) (231111127)",used,,,,231111127,,,,,,,,,
,,"Mumford & Sons: Sigh No More 12"" (used) (231111121)",used,,,,231111121,,,,,,,,,
,,"Bright Eyes: I'm Wide Awake, It's Morning",Saddle Creek,Saddle Creek,https://cdn.shopify.com/s/files/1/0255/7539/products/379d961c795962077e6bfe93f8df7bccc768760a.jpg?v=1585622955,,190220939,190220939,,,,,,,,
,,A Tribe Called Quest: People's Instinctive Travels and the Paths of Rhythm,Jive Records,,,,200825300,200825300,,,,,,,,
,,"DMX: Know What I Am 7"" (used) (231111131)",used,,,,231111131,,,,,,,,,
,Music Cassette Tapes,Avoid: Family Man cassette,Escape Cassettes,,,,231016902,231016902,,,,,,,,US
,Music Cassette Tapes,Corpse + 2 Veg: Live Demo ‘84 cassette,Escape Cassettes,,,,231016901,231016901,,,,,,,,US
,,That Dog.: Totally Crushed Out!,,,,,200804905,200804905,,,,0.7,,,,
173543248,,"Sirkka: Viivyttely 7"" - clear vinyl",Sorry State Records,,,,231016800,231016800,,,,270,,,,US
,Music Cassette Tapes,Suffocating Madness: Promo cassette,self-released,,,,231016900,231016900,,,,90,,,,US
,Music CDs,"Chopin* - Zoltán Kocsis - The 19 Waltzes = Die 19 Walzer (CD, Album)",,,,,3292687,,3.1,Near Mint (NM or M-),Very Good Plus (VG+),,,,,
,,"Golden Earring:Â Grab It For A Second 12"" (used) (210522017)",used,,,,210522017,,2.96,Very Good Plus (VG+),Very Good (VG),,,,,
